,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
0,13525,2018,BOS,1,[1],['RAFAEL MANDELMAN']
1,13526,2018,BOS,1,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
2,13527,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
3,13528,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
4,13529,2018,BOS,1,"[1, 2, 3]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
5,13530,2018,BOS,1,[1],['JEFF SHEEHY']
6,13531,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
7,13532,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
8,13533,2018,BOS,1,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
9,13534,2018,BOS,1,"[1, 2]","[""LAWRENCE ''STARK'' DAGESSE"", 'JEFF SHEEHY']"
10,13535,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
11,13536,2018,BOS,1,[1],['RAFAEL MANDELMAN']
12,13537,2018,BOS,1,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
13,13538,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
14,13539,2018,BOS,1,[1],['RAFAEL MANDELMAN']
15,13540,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
16,13541,2018,BOS,1,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
17,13542,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
18,13543,2018,BOS,1,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
19,13545,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
20,13546,2018,BOS,1,[1],['JEFF SHEEHY']
21,13547,2018,BOS,1,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
22,13548,2018,BOS,1,[1],['JEFF SHEEHY']
23,13549,2018,BOS,1,[1],"[""LAWRENCE ''STARK'' DAGESSE""]"
24,13550,2018,BOS,1,"[1, 2, 3]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE"", 'RAFAEL MANDELMAN']"
25,13551,2018,BOS,1,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
26,13552,2018,BOS,1,[1],['JEFF SHEEHY']
27,13553,2018,BOS,1,[1],['RAFAEL MANDELMAN']
28,13554,2018,BOS,1,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
